Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover
2024,1,1,40,28,0,0,0
2024,1,2,47,25,0,0,0
2024,1,3,41,25,0,0,0
2024,1,4,45,29,0,0,0
2024,1,5,51,24,-999,0,0
2024,1,6,46,27,0.5,0,0
2024,1,7,49,27,-999,0,0
2024,1,8,54,20,0.45,0,0
2024,1,9,52,17,0.61,-999,0
2024,1,10,47,29,0,0,0
2024,1,11,59,24,0,0,0
2024,1,12,57,20,1.1,0,0
2024,1,13,44,25,0,0,0
2024,1,14,37,16,0.17,1.3,1
2024,1,15,17,12,0.55,6.3,5
2024,1,16,19,7,0,0,6
2024,1,17,27,-1,0,0,5
2024,1,18,34,15,0.12,0,5
2024,1,19,34,13,-999,-999,3
2024,1,20,17,7,0,0,2
2024,1,21,32,4,0,0,2
2024,1,22,48,8,0,0,2
2024,1,23,57,21,-999,0,0
2024,1,24,61,23,0.69,0,0
2024,1,25,63,21,0.73,0,0
2024,1,26,65,34,0,0,0
2024,1,27,62,33,0.45,0,0
2024,1,28,43,29,0.02,0,0
2024,1,29,39,32,-999,-999,0
2024,1,30,60,27,0.01,0,0
2024,1,31,49,32,0,0,0
2024,2,1,58,28,0,0,0
2024,2,2,71,37,0,0,0
2024,2,3,68,39,0,0,0
2024,2,4,61,44,0,0,0
2024,2,5,65,42,0,0,0
2024,2,6,59,37,0,0,0
2024,2,7,69,30,0,0,0
2024,2,8,63,44,0,0,0
2024,2,9,62,37,0.49,0,0
2024,2,10,63,32,0.77,0,0
2024,2,11,56,38,0.22,0,0
2024,2,12,51,34,1.16,-999,-999
2024,2,13,55,26,0,0,0
2024,2,14,65,24,0,0,0
2024,2,15,69,39,0,0,0
2024,2,16,67,30,0.27,0,0
2024,2,17,37,26,0,0,0
2024,2,18,52,19,0,0,0
2024,2,19,60,19,0,0,0
2024,2,20,64,14,0,0,0
2024,2,21,71,12,0,0,0
2024,2,22,62,19,0.39,0,0
2024,2,23,66,22,-999,0,0
2024,2,24,51,26,0,0,0
2024,2,25,68,28,-999,0,0
2024,2,26,76,38,0,0,0
2024,2,27,75,49,-999,0,0
2024,2,28,73,34,0.51,0,0
2024,2,29,50,30,0,0,0
2024,3,1,50,32,0.23,0,0
2024,3,2,60,27,-999,0,0
2024,3,3,69,27,0,0,0
2024,3,4,78,47,0,0,0
2024,3,5,64,36,0.52,0,0
2024,3,6,62,36,0.46,0,0
2024,3,7,68,37,0,0,0
2024,3,8,68,46,0.27,0,0
2024,3,9,58,41,0.21,0,0
2024,3,10,55,36,0,0,0
2024,3,11,63,30,0,0,0
2024,3,12,72,37,0,0,0
2024,3,13,78,46,0,0,0
2024,3,14,81,56,0.37,0,0
2024,3,15,70,52,0.83,0,0
2024,3,16,70,40,0,0,0
2024,3,17,62,34,0,0,0
2024,3,18,47,30,0,0,0
2024,3,19,60,26,0,0,0
2024,3,20,73,33,0,0,0
2024,3,21,68,28,0,0,0
2024,3,22,77,47,0.17,0,0
2024,3,23,58,40,-999,0,0
2024,3,24,72,37,0,0,0
2024,3,25,69,50,0.12,0,0
2024,3,26,70,48,0.7,0,0
2024,3,27,59,42,0,0,0
2024,3,28,65,40,0,0,0
2024,3,29,73,38,0,0,0
2024,3,30,79,54,0,0,0
2024,3,31,77,45,0,0,0
2024,4,1,79,45,0,0,0
2024,4,2,74,53,0.98,0,0
2024,4,3,57,45,0.02,0,0
2024,4,4,56,42,0,0,0
2024,4,5,51,36,0,0,0
2024,4,6,63,37,0,0,0
2024,4,7,77,40,0,0,0
2024,4,8,74,38,0.05,0,0
2024,4,9,64,33,0.4,0,0
2024,4,10,70,50,0.1,0,0
2024,4,11,70,46,0.35,0,0
2024,4,12,67,38,0,0,0
2024,4,13,80,38,0,0,0
2024,4,14,87,56,0,0,0
2024,4,15,86,45,0,0,0
2024,4,16,87,40,-999,0,0
2024,4,17,80,47,0.06,0,0
2024,4,18,87,62,0,0,0
2024,4,19,73,58,0.02,0,0
2024,4,20,67,48,0.36,0,0
2024,4,21,61,46,0,0,0
2024,4,22,67,37,0,0,0
2024,4,23,76,42,0,0,0
2024,4,24,77,56,0.04,0,0
2024,4,25,74,47,-999,0,0
2024,4,26,84,54,0.25,0,0
2024,4,27,83,53,0,0,0
2024,4,28,82,53,0,0,0
2024,4,29,82,64,1.33,0,0
2024,4,30,81,62,0.56,0,0
2024,5,1,87,58,0,0,0
2024,5,2,87,62,0,0,0
2024,5,3,81,53,0.28,0,0
2024,5,4,77,49,0.82,0,0
2024,5,5,85,49,0,0,0
2024,5,6,81,49,0.54,0,0
2024,5,7,82,59,0.03,0,0
2024,5,8,82,61,0.63,0,0
2024,5,9,84,57,1.7,0,0
2024,5,10,71,53,0,0,0
2024,5,11,80,50,0,0,0
2024,5,12,81,50,0,0,0
2024,5,13,72,59,0.02,0,0
2024,5,14,78,59,0.73,0,0
2024,5,15,77,59,0.03,0,0
2024,5,16,82,61,0,0,0
2024,5,17,73,64,0.06,0,0
2024,5,18,79,64,-999,0,0
2024,5,19,88,63,0,0,0
2024,5,20,91,64,0,0,0
