Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover,,,,,,,,,,,,,,,,,
2024,1,1,56,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,2,48,22,0,0,0,,,,,,,,,,,,,,,,,
2024,1,3,46,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,4,35,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,5,42,20,0,0,0,,,,,,,,,,,,,,,,,
2024,1,6,41,16,0,0,0,,,,,,,,,,,,,,,,,
2024,1,7,38,20,0,0,0,,,,,,,,,,,,,,,,,
2024,1,8,34,19,0.1,2.3,2,,,,,,,,,,,,,,,,,
2024,1,9,45,11,0,0,1,,,,,,,,,,,,,,,,,
2024,1,10,38,28,0,0,1,,,,,,,,,,,,,,,,,
2024,1,11,32,16,0,0,1,,,,,,,,,,,,,,,,,
2024,1,12,32,5,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,13,29,-11,0.19,2.7,2,,,,,,,,,,,,,,,,,
2024,1,14,10,-7,0.09,1,3,,,,,,,,,,,,,,,,,
2024,1,15,2,-11,0.2,3.4,6,,,,,,,,,,,,,,,,,
2024,1,16,37,-14,0,0,5,,,,,,,,,,,,,,,,,
2024,1,17,45,22,0,0,4,,,,,,,,,,,,,,,,,
2024,1,18,48,20,-999,-999,3,,,,,,,,,,,,,,,,,
2024,1,19,33,11,0,0,3,,,,,,,,,,,,,,,,,
2024,1,20,35,16,0,0,3,,,,,,,,,,,,,,,,,
2024,1,21,52,27,0,0,2,,,,,,,,,,,,,,,,,
2024,1,22,52,27,0,0,1,,,,,,,,,,,,,,,,,
2024,1,23,51,26,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,24,51,26,-999,0,-999,,,,,,,,,,,,,,,,,
2024,1,25,50,24,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,26,44,31,0.12,1.4,-999,,,,,,,,,,,,,,,,,
2024,1,27,50,24,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,28,61,28,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,29,61,33,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,30,62,27,0,0,0,,,,,,,,,,,,,,,,,
2024,1,31,63,29,0,0,0,,,,,,,,,,,,,,,,,
2024,2,1,64,35,0,0,0,,,,,,,,,,,,,,,,,
2024,2,2,52,31,0,0,0,,,,,,,,,,,,,,,,,
2024,2,3,45,31,1.58,8.5,9,,,,,,,,,,,,,,,,,
2024,2,4,43,22,0.16,0.6,6,,,,,,,,,,,,,,,,,
2024,2,5,44,20,0,0,5,,,,,,,,,,,,,,,,,
